SessionID,SessionDate,SessionDuration,SessionFrequency,RecordID,Timestamp,timeIntervalSince1970,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,MagX,MagY,MagZ,WatchTimestamp,WatchtImeIntervalSince1970,WatchGyroX,WatchGyroY,WatchGyroZ,WatchAccX,WatchAccY,WatchAccZ
1,39:45.9,00:05,60,0,39:46.0,1661938786,0.086184687,-0.283592568,0.355026804,-0.016204834,-0.1121521,-0.845001221,41.46238708,-55.99015808,-69.45994568,,,,,,,,
1,39:45.9,00:05,60,0,39:46.0,1661938786,0.086184687,-0.283592568,0.355026804,-0.016204834,-0.1121521,-0.845001221,41.18202209,-55.66699219,-70.54866028,,,,,,,,
1,39:45.9,00:05,60,0,39:46.0,1661938786,0.509122631,-1.092378612,0.444293833,-0.101928711,-0.165359497,-0.762207031,40.98490906,-55.56797791,-70.35923767,,,,,,,,
1,39:45.9,00:05,60,0,39:46.0,1661938786,1.01231094,-1.564688633,0.402479008,-0.075866699,-0.033081055,-0.727264404,40.24571228,-55.51448059,-70.05786133,,,,,,,,
1,39:45.9,00:05,60,0,39:46.0,1661938786,1.343064895,-1.96314467,0.584248275,-0.188552856,-0.098648071,-0.665298462,39.25387573,-56.55805969,-70.29951477,,,,,,,,
1,39:45.9,00:05,60,0,39:46.0,1661938786,1.500838547,-2.342358569,0.788419253,-0.19631958,-0.102371216,-0.628311157,39.25387573,-56.55805969,-70.29951477,,,,,,,,
1,39:45.9,00:05,60,0,39:46.0,1661938786,1.557073324,-2.696467914,0.929375842,-0.208236694,-0.084899902,-0.51625061,38.36383057,-57.33683777,-69.40235901,,,,,,,,
1,39:45.9,00:05,60,0,39:46.1,1661938786,1.521720659,-3.037271307,1.038260515,-0.266113281,-0.055358887,-0.472824097,37.15446472,-58.06550598,-69.06542969,,,,,,,,
1,39:45.9,00:05,60,0,39:46.1,1661938786,1.244392912,-3.170083684,1.093319507,-0.312866211,-0.054290771,-0.445388794,35.6725769,-58.27967834,-69.07788086,,,,,,,,
1,39:45.9,00:05,60,0,39:46.1,1661938786,0.527822549,-2.903384612,1.036624269,-0.379241943,-0.070617676,-0.468765259,34.36909485,-58.1318512,-68.125,,,,,,,,
1,39:45.9,00:05,60,0,39:46.1,1661938786,-0.391722767,-2.436574551,0.981861688,-0.457290649,-0.054931641,-0.452713013,33.33226013,-57.78771973,-66.75309753,,,,,,,,
1,39:45.9,00:05,60,0,39:46.1,1661938786,-0.993246701,-2.205101111,1.033891067,-0.505218506,-0.035705566,-0.4662323,33.33226013,-57.78771973,-66.75309753,,,,,,,,
1,39:45.9,00:05,60,0,39:46.1,1661938786,-1.066310792,-2.290519606,1.086436833,-0.536758423,-0.017715454,-0.535385132,32.73553467,-56.85041809,-64.64466858,,,,,,,,
1,39:45.9,00:05,60,0,39:46.2,1661938786,-0.848260483,-2.702613425,1.111153365,-0.57144165,0.033630371,-0.587341309,31.80220032,-55.5933075,-63.37802124,,,,,,,,
